"Package","Version"
"httr","1.4.7"
"httr2","1.2.1"
"ica","1.0-3"
"ids","1.0.1"
"igraph","2.1.4"
"iml","0.11.4"
"impute","1.80.0"
"ini","0.3.1"
"invgamma","1.2"
"ipred","0.9-15"
"IRanges","2.40.1"
"IRdisplay","1.1"
"IRkernel","1.3.2"
"irlba","2.3.5.1"
"isoband","0.2.7"
"iterators","1.0.14"
"jomo","2.7-6"
"jose","1.2.1"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","1.9.1"
"KEGGREST","1.46.0"
"knitr","1.50"
"labeling","0.4.3"
"lambda.r","1.2.4"
"later","1.4.4"
"lava","1.8.2"
"lazyeval","0.2.2"
"leidenbase","0.1.35"
"libcoin","1.0-10"
"lifecycle","1.0.4"
"limma","3.62.2"
"listenv","0.9.1"
"lme4","1.1-37"
"lmtest","0.9-40"
"locfit","1.5-9.12"
"logistf","1.26.1"
"lubridate","1.9.4"
"magick","2.9.1"
"magrittr","2.0.3"
"maps","3.4.3"
"mathjaxr","1.8-0"
"MatrixGenerics","1.18.1"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"memoise","2.0.1"
"metap","1.12"
"Metrics","0.1.4"
"mice","3.18.0"
"microbenchmark","1.5.0"
"mime","0.13"
"miniUI","0.1.2"
"minqa","1.2.8"
"mitml","0.4-5"
"mixsqp","0.3-54"
"mnormt","2.1.1"
"ModelMetrics","1.2.2.2"
"modelr","0.1.11"
"modeltools","0.2-24"
"msigdbr","25.1.1"
"multcomp","1.4-29"
"multcompView","0.1-10"
"munsell","0.5.1"
"mutoss","0.1-13"
"mvtnorm","1.3-3"
"nloptr","2.2.1"
"numDeriv","2016.8-1.1"
"openssl","2.3.4"
"openxlsx","4.2.8"
"operator.tools","1.6.3"
"ordinal","2023.12-4.1"
"org.Hs.eg.db","3.20.0"
"packrat","0.9.3"
"pacman","0.5.1"
"pan","1.9"
"parallelly","1.45.1"
"patchwork","1.3.2"
"pbapply","1.7-4"
"pbdZMQ","0.3-14"
"pbkrtest","0.5.5"
"pheatmap","1.0.13"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgdown","2.1.3"
"pkgload","1.4.1"
"PKI","0.1-15"
"plogr","0.2.0"
"plotly","4.11.0"
"plotrix","3.8-4"
"plyr","1.8.9"
"png","0.1-9"
"polyclip","1.10-7"
"polynom","1.4-1"
"praise","1.0.0"
"preprocessCore","1.68.0"
"prettyunits","1.2.0"
"pROC","1.19.0.1"
"processx","3.8.6"
"prodlim","2025.04.28"
"profvis","0.4.0"
"progress","1.2.3"
"progressr","0.16.0"
"promises","1.3.3"
"proto","1.0.0"
"proxy","0.4-27"
"ps","1.9.1"
"purrr","1.1.0"
"qqconf","1.3.2"
"quantreg","6.1"
"qvalue","2.38.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.0"
"randomForest","4.7-1.2"
"RANN","2.6.2"
"rappdirs","0.3.3"
"rbibutils","2.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.14"
"RcppAnnoy","0.0.22"
"RcppArmadillo","15.0.2-2"
"RcppEigen","0.3.4.0.2"
"RcppHNSW","0.6.0"
"RcppNumerical","0.6-0"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.17"
"RCy3","2.26.0"
"Rdpack","2.6.4"
"readr","2.1.5"
"readxl","1.4.5"
"recipes","1.3.1"
"reformulas","0.4.1"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"rentrez","1.2.4"
"renv","1.1.5"
"repr","1.1.7"
"reprex","2.1.1"
"reshape","0.8.10"
"reshape2","1.4.4"
"reticulate","1.43.0"
"RhpcBLASctl","0.23-42"
"rjson","0.2.23"
"RJSONIO","2.0.0"
"rlang","1.1.5"
"rmarkdown","2.30"
"robustbase","0.99-6"
"ROCR","1.0-11"
"roxygen2","7.3.3"
"rprojroot","2.1.1"
"rsconnect","1.5.1"
"RSpectra","0.16-2"
"RSQLite","2.4.2"
"rstatix","0.7.2"
"rstudioapi","0.17.1"
"rsvg","2.7.0"
"Rtsne","0.17"
"rversions","2.1.2"
"rvest","1.0.5"
"S4Arrays","1.6.0"
"S4Vectors","0.44.0"
"S7","0.2.0"
"sandwich","3.1-1"
"sass","0.4.10"
"scales","1.4.0"
"scattermore","1.2"
"scatterpie","0.2.6"
"sctransform","0.4.2"
"selectr","0.4-2"
"sessioninfo","1.2.3"
"Seurat","5.3.0"
"SeuratDisk","0.0.0.9021"
"SeuratObject","5.2.0"
"shape","1.4.6.1"
"shiny","1.11.1"
"sitmo","2.0.2"
"sm","2.2-6.0"
"sn","2.1.1"
"snow","0.4-4"
"snowflakeauth","0.2.0"
"sourcetools","0.1.7-1"
"sp","2.2-0"
"spam","2.11-1"
"SparseArray","1.6.2"
"SparseM","1.84-2"
"sparsevctrs","0.3.4"
"spatstat.data","3.1-8"
"spatstat.explore","3.5-3"
"spatstat.geom","3.6-0"
"spatstat.random","3.4-2"
"spatstat.sparse","3.1-0"
"spatstat.univar","3.1-4"
"spatstat.utils","3.2-0"
"sqldf","0.4-11"
"SQUAREM","2021.1"
"statmod","1.5.0"
"STRINGdb","2.18.0"
"stringi","1.8.7"
"stringr","1.5.2"
"SummarizedExperiment","1.36.0"
"svglite","2.2.2"
"sys","3.4.3"
"systemfonts","1.3.1"
"tensor","1.5.1"
"testthat","3.2.3"
"textshaping","1.0.3"
"TFisher","0.2.0"
"TH.data","1.1-4"
"tibble","3.2.1"
"tidygraph","1.3.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidytree","0.4.6"
"tidyverse","2.0.0"
"timechange","0.3.0"
"timeDate","4051.111"
"tinytex","0.57"
"treeio","1.30.0"
"truncnorm","1.0-9"
"tweenr","2.0.3"
"tzdb","0.5.0"
"ucminf","1.2.2"
"UCSC.utils","1.2.0"
"urlchecker","1.0.1"
"usethis","3.2.1"
"utf8","1.2.6"
"uuid","1.2-1"
"uwot","0.2.3"
"vctrs","0.6.5"
"VennDiagram","1.7.3"
"vioplot","0.5.1"
"vipor","0.4.7"
"viridis","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.6"
"waldo","0.6.2"
"WGCNA","1.73"
"whisker","0.4.1"
"withr","3.0.2"
"writexl","1.5.4"
"xfun","0.53"
"XML","3.99-0.19"
"xml2","1.4.0"
"xopen","1.0.1"
"xtable","1.8-4"
"XVector","0.46.0"
"yaml","2.3.10"
"yulab.utils","0.2.1"
"zip","2.3.3"
"zlibbioc","1.52.0"
"zoo","1.8-14"
"base","4.4.3"
"boot","1.3-31"
"class","7.3-23"
"cluster","2.1.8"
"codetools","0.2-20"
"compiler","4.4.3"
"datasets","4.4.3"
"foreign","0.8-88"
"graphics","4.4.3"
"grDevices","4.4.3"
"grid","4.4.3"
"KernSmooth","2.23-26"
"lattice","0.22-6"
"MASS","7.3-64"
"Matrix","1.7-2"
"methods","4.4.3"
"mgcv","1.9-1"
"nlme","3.1-167"
"nnet","7.3-20"
"parallel","4.4.3"
"rpart","4.1.24"
"spatial","7.3-18"
"splines","4.4.3"
"stats","4.4.3"
"stats4","4.4.3"
"survival","3.8-3"
"tcltk","4.4.3"
"tools","4.4.3"
"translations","4.4.3"
"utils","4.4.3"
